project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
A Conscious Consumer's General Store in Chicago,"Chicago, United States",Kris VanDyke,"25,000",USD,"2,510","'Fundraising ended on Aug 01, 2017",19,Animal Rights;Environment;Indigenous;,"25,000","50,000",0.10040,0.05020,1503,73.34,66.97,70.04,95.00,19.03,22.29,49.57,13.71,8.58,4.72,2.40,0.80,0.07,0.60,5.12,6.12,15.17,7.19,4.66,6.79,0.73,14.30,4.99,1.80,1.60,0.93,2.20,5.92,5.19,0.60,0.13,0.07,0.07,9.12,0.40,1.06,0.33,0.13,11.91,3.26,2.93,0.93,1.86,1.40,2.46,1.46,0.60,0.07,0.60,1.06,0.27,0.27,0.20,0.33,10.91,5.26,2.26,2.20,1.73,0.27,4.13,9.12,1.46,14.70,1.80,8.05,5.19,5.85,0.73,0.73,3.93,0.00,0.00,0.20,0.00,0.07,0.07,0.07,0.00,14.64,4.92,3.19,0.13,0.00,0.07,0.73,1.73,0.00,2.59,0.73,0.53
A Creative New App for DIYers and Upcyclers,Santa Rosa,F is for Phantom Productions,"5,000",USD,209,"'Fundraising ended on Jun 15, 2013",8,Arts & Culture;Education;,"5,000","7,000",0.04180,0.02986,230,82.55,58.59,18.64,90.42,17.69,21.74,50.43,11.30,3.48,0.87,0.00,1.30,0.00,1.30,7.83,9.57,13.04,9.57,2.61,6.09,0.43,17.83,2.61,0.87,2.61,0.00,1.30,5.22,4.35,0.43,0.00,0.43,0.00,6.52,0.00,0.00,0.00,0.00,15.65,2.17,6.52,0.43,3.91,0.87,4.35,2.17,1.30,0.43,0.00,1.30,0.00,0.43,0.00,0.87,3.04,0.43,2.61,0.00,0.00,0.00,3.48,15.65,0.43,8.70,0.00,3.48,5.22,3.48,2.61,1.30,0.87,0.00,0.00,2.17,0.00,2.17,0.00,0.00,0.00,14.35,4.35,3.04,0.00,0.00,0.87,0.43,0.87,1.74,2.17,0.87,0.00
A Dairy Cow's Dream - Honoring Mothers,United States,Wildwood Farm Sanctuary,"1,000",USD,200,"'Fundraising ended on Jun 01, 2017",4,Animal Rights;Environment;Health;,"1,000","2,000",0.20000,0.10000,256,74.39,98.35,40.33,95.46,21.33,16.02,49.61,13.67,11.72,0.00,3.52,2.34,0.78,5.08,1.95,5.08,15.23,6.64,4.69,6.25,0.39,11.33,5.86,3.12,1.56,1.95,1.56,4.69,4.69,0.00,0.00,0.00,0.00,16.80,1.17,1.17,1.17,0.78,5.86,1.56,0.39,0.78,0.39,1.95,0.78,1.95,1.56,0.00,0.39,2.34,0.39,1.56,0.00,0.39,10.16,5.86,0.78,3.91,0.39,0.00,3.52,8.59,0.00,18.75,1.56,10.55,6.64,2.34,1.17,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.97,5.86,6.25,0.78,0.00,0.00,0.00,0.78,1.56,0.39,1.56,0.78
A Dollar A Week,"Coolangatta, QLD, Australia",A Dollar A Week,"25,000",AUD,"2,792","'Fundraising ended on May 31, 2017",24,Environment;Food;Health;,"25,000","50,000",0.11168,0.05584,500,92.03,89.96,26.32,98.72,16.67,24.20,45.60,8.80,5.40,0.20,3.60,0.60,0.00,1.00,3.40,8.60,14.60,5.40,3.80,5.20,0.80,12.40,5.00,2.00,1.80,2.20,2.00,6.60,6.20,0.40,0.00,0.00,0.00,11.20,0.00,0.80,0.00,0.00,9.20,0.80,4.20,0.60,0.60,1.40,1.60,1.80,1.20,0.20,0.40,1.60,0.60,1.00,0.00,0.00,14.20,6.80,3.80,3.20,2.20,0.40,0.80,9.20,0.60,15.20,1.60,10.60,3.40,5.60,2.60,0.20,1.80,0.20,0.20,0.20,0.00,0.20,0.00,0.00,0.00,14.40,6.00,3.00,0.20,0.20,1.00,2.20,0.00,0.40,0.20,0.00,1.20
A dollar for a year of education,Sydney,Spark International,"2,500",USD,"3,225","'Jul 15, 2012",63,Economic Development;,"2,500","6,000",1.29000,0.53750,139,97.86,64.06,13.52,93.41,12.64,22.30,46.04,7.91,2.16,0.00,0.00,0.72,0.00,1.44,5.76,12.23,15.11,5.04,2.88,3.60,0.00,12.95,2.88,1.44,0.00,7.19,2.88,5.76,5.04,0.72,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,5.04,0.72,1.44,0.72,1.44,0.72,0.72,0.72,0.00,0.00,0.00,2.88,0.00,0.72,0.72,1.44,7.91,0.72,2.88,2.88,1.44,0.00,1.44,12.23,0.72,13.67,2.88,5.76,5.04,7.19,0.72,0.00,5.04,0.00,0.00,0.72,0.00,0.00,0.00,0.72,0.00,15.11,7.91,1.44,0.72,0.00,0.00,0.00,0.00,0.00,2.16,1.44,1.44
A Free Alternative Healing Center in Ecuador,Montanita,Free Alternative Healing Center,550,USD,150,"'Fundraising ended on Apr 08, 2015",4,Health;,550,"2,200",0.27273,0.06818,450,71.75,59.66,50.74,99.00,15.52,23.78,51.78,14.00,10.44,5.56,1.33,1.33,0.67,1.56,3.56,6.89,14.67,7.33,6.22,6.00,0.44,16.00,2.89,0.67,1.33,3.33,2.22,8.44,7.56,0.89,0.22,0.00,0.22,9.56,0.22,0.22,0.00,0.89,12.00,2.00,2.00,2.67,2.00,1.11,3.78,0.89,0.44,0.00,0.44,6.89,0.22,6.22,0.00,0.00,7.56,2.22,1.56,1.78,1.78,0.44,3.33,10.44,0.67,13.11,2.67,7.33,3.56,2.89,0.22,1.56,2.44,0.00,0.00,0.44,0.00,0.22,0.22,0.00,0.00,20.67,6.00,5.33,0.22,0.00,0.00,0.44,0.89,0.89,3.11,1.33,2.44
A Fun Board Game to Help Scottish Families in Need,Glasgow,Escape the Jungle game,"1,250",GBP,"1,555","'Apr 29, 2015",34,Children & Youth;,"1,250","5,000",1.24400,0.31100,401,90.98,98.98,7.18,86.34,25.06,25.19,41.15,9.48,5.99,0.00,2.00,1.50,0.00,2.49,3.49,7.98,12.22,5.99,1.25,4.99,0.25,11.72,4.74,0.50,2.00,2.00,2.49,7.48,5.49,2.00,1.00,0.25,0.00,20.95,2.00,0.00,0.00,0.00,6.48,1.00,2.49,0.00,1.00,1.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.45,10.47,2.74,8.48,0.75,2.74,0.75,8.98,2.74,10.22,2.99,4.74,2.74,6.48,4.49,1.75,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.21,4.49,4.24,2.00,0.00,0.25,0.00,0.25,0.50,0.75,0.00,3.74
A Gift That Will Last Kids A Lifetime,Bronx,Maker Kids,"4,000",USD,850,"'Fundraising ended on Dec 31, 2013",11,Children & Youth;,"4,000","8,000",0.21250,0.10625,400,94.58,82.26,19.08,95.75,23.53,28.50,46.50,7.00,2.25,0.00,0.50,0.25,0.00,1.50,4.75,8.25,16.25,6.00,1.25,8.00,0.25,8.75,1.50,0.50,1.25,1.25,0.50,4.75,4.75,0.00,0.00,0.00,0.00,10.25,0.50,0.50,0.00,0.00,7.75,1.75,4.75,0.00,0.25,0.00,1.50,0.75,0.25,0.00,0.25,0.25,0.25,0.00,0.00,0.00,13.50,3.75,4.25,5.00,2.75,0.00,1.50,6.25,2.50,12.50,1.50,6.25,5.25,15.00,0.75,0.25,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,5.25,5.50,1.50,0.25,0.00,0.00,2.25,0.50,0.25,1.00,0.00
A Girl Trying To Save A Girl,Mercer Island,A Girl Trying to Save a Girl,"1,500",USD,"8,160","'Feb 14, 2014",47,Children & Youth;Education;,"1,500","3,000",5.44000,2.72000,294,58.89,91.31,7.24,64.46,19.60,14.63,53.74,13.61,8.84,2.72,0.68,0.68,1.02,3.74,4.76,6.12,13.61,10.54,3.74,8.16,1.02,17.69,1.70,1.70,2.04,4.76,0.00,2.72,2.38,0.34,0.34,0.00,0.00,19.05,2.38,0.00,5.78,1.36,9.18,0.68,3.40,2.04,1.36,0.00,3.06,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.00,0.00,12.93,4.76,2.72,5.78,0.34,0.34,5.44,10.20,1.70,8.84,0.68,5.10,3.06,4.76,0.34,0.68,3.06,0.00,0.00,0.34,0.00,0.34,0.00,0.00,0.00,12.24,4.76,1.02,0.00,0.00,0.34,0.68,0.34,0.00,1.02,0.68,3.40
A Greener Hope,"Barberton, United States",Justin Coup,"25,001",USD,165,"'Fundraising ended on Mar 11, 2017",3,Community;Environment;Human Rights;,"25,001","75,000",0.00660,0.00220,1462,75.73,73.77,27.67,54.09,18.51,19.08,49.59,10.67,5.68,1.16,1.30,0.14,0.27,2.80,4.99,6.63,14.71,8.69,4.79,5.95,1.98,15.46,4.99,3.08,1.78,1.64,4.04,4.79,3.08,1.57,0.48,0.21,0.21,11.49,0.21,0.21,0.14,0.34,13.68,1.98,2.80,1.37,3.49,2.05,3.35,1.03,0.55,0.07,0.27,3.76,0.21,2.74,0.00,1.03,10.81,3.49,3.97,2.80,1.92,0.41,2.87,10.81,1.71,12.59,1.98,8.34,2.94,3.83,0.75,0.75,0.41,0.00,0.21,0.96,0.07,0.48,0.07,0.34,0.00,20.45,7.18,5.68,0.07,0.27,0.41,0.34,0.68,0.27,1.85,1.50,2.19
A Hand to Haiti,"Canaan, Haiti",Marie Nicole Cormier,"40,000",CAD,30,"'Fundraising ended on Jul 31, 2017",3,Children & Youth;Community;Education;,"40,000","160,000",0.00075,0.00019,557,93.34,89.87,25.54,49.13,19.89,28.90,43.99,8.08,4.13,0.00,1.97,1.44,0.00,0.72,3.95,8.44,14.90,6.10,3.23,4.67,0.72,10.77,4.67,2.51,1.44,3.23,1.44,3.77,2.51,1.26,0.00,0.36,0.36,11.85,0.00,0.36,0.00,0.18,7.00,1.26,2.15,0.90,0.90,0.36,1.80,0.54,0.00,0.00,0.54,0.90,0.00,0.72,0.00,0.18,12.57,6.28,1.62,3.95,1.08,0.36,1.97,6.64,1.26,14.90,2.51,9.16,4.31,5.21,1.62,0.36,1.26,0.00,0.36,1.26,0.00,1.08,0.00,0.18,0.00,13.46,5.57,4.31,0.72,0.00,0.18,0.00,1.08,0.00,0.00,0.00,1.62
A Handsy Future for Hand Hygiene,Sydney,Handsy,100,AUD,260,"'Jun 29, 2014",6,Health;,100,400,2.60000,0.65000,370,89.10,70.57,14.28,51.03,17.62,19.73,49.46,9.19,5.41,0.81,0.27,0.54,0.00,3.78,3.78,10.27,15.14,7.30,4.86,5.68,1.62,12.16,4.59,3.24,2.43,1.62,1.08,3.78,2.43,1.08,0.00,0.27,0.27,8.65,0.00,0.00,0.27,0.27,11.62,2.70,5.95,1.89,0.27,0.00,1.62,4.86,0.27,0.00,4.59,9.73,5.41,4.05,0.00,0.27,6.22,0.81,2.70,1.89,0.00,1.62,0.27,11.08,1.08,11.35,1.89,6.22,3.51,0.81,1.62,1.35,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,17.84,5.14,6.49,1.08,0.00,0.27,0.00,1.35,0.54,1.89,0.00,1.08
A Happy and Healthy Newcastle,Newcastle,Newy Matters,"40,000",AUD,365,"'Fundraising ended on May 02, 2014",10,Community;,"40,000","80,000",0.00913,0.00456,280,97.10,81.40,3.82,99.00,35.00,34.64,46.43,6.79,2.86,0.00,1.79,0.36,0.00,0.71,3.93,10.36,17.14,4.64,1.43,8.21,0.36,6.43,5.71,2.86,0.00,0.00,1.79,9.64,9.29,0.36,0.00,0.00,0.36,8.93,0.00,0.00,0.00,0.00,7.14,1.43,1.07,1.07,1.43,1.43,1.79,0.36,0.36,0.00,0.00,3.21,0.36,2.86,0.00,0.36,12.50,6.43,2.86,2.50,2.50,0.00,0.71,5.36,0.36,8.21,0.71,7.14,0.36,6.79,2.14,0.00,0.71,0.00,0.00,1.79,0.00,1.07,0.00,0.71,0.00,11.43,2.86,3.57,0.36,0.00,0.00,0.00,2.50,0.00,0.36,0.71,1.07
A House for Matryoshka Haus,London,Matryoshka Haus,"7,350",USD,535,"'Fundraising ended on Nov 24, 2015",7,Community;,"7,350","29,400",0.07279,0.01820,521,75.70,94.00,29.97,98.64,19.30,18.81,51.63,12.28,7.68,0.58,5.76,1.15,0.00,0.19,4.61,7.68,14.59,8.83,3.65,6.53,1.73,15.16,4.41,1.92,2.69,0.58,1.92,6.91,6.33,0.58,0.19,0.00,0.00,13.63,0.00,0.19,0.38,0.00,12.48,2.30,3.65,1.92,1.15,1.73,2.69,1.15,0.38,0.00,0.38,2.88,0.38,0.58,0.58,1.34,17.27,9.21,4.61,2.50,1.54,0.38,2.69,11.71,1.92,14.20,2.69,9.79,2.30,4.03,0.96,1.15,0.96,0.38,0.19,0.19,0.00,0.00,0.19,0.00,0.00,14.01,5.37,4.41,0.19,0.00,0.19,0.00,0.58,0.00,2.50,0.00,0.77
A Hundred Thousand Huggle Buddies,"Sydney, Australia",Melissa Cook,"15,000",AUD,"4,999","'Fundraising ended on Nov 23, 2016",16,Children & Youth;Health;Social Enterprise;,"15,000","45,000",0.33327,0.11109,694,70.48,73.22,55.97,78.56,20.41,19.16,50.00,13.69,8.93,4.32,0.86,1.59,0.58,1.59,4.76,5.33,14.70,6.92,3.89,7.20,1.30,14.70,5.91,2.59,1.73,3.31,1.73,6.92,4.90,2.02,0.29,0.29,0.58,12.68,0.58,1.15,0.14,0.86,9.94,2.31,0.72,1.44,2.59,0.86,3.31,2.45,0.86,0.43,0.86,4.76,1.30,3.31,0.00,0.29,9.94,4.47,0.72,4.76,0.29,0.43,5.19,8.65,0.58,13.98,2.02,8.07,3.89,1.01,2.02,0.72,0.72,0.14,0.00,0.29,0.00,0.14,0.14,0.00,0.00,10.23,4.18,2.45,0.00,0.00,0.58,0.14,0.14,0.14,2.59,0.00,0.00
A Hydroponics Project for Artists in The Gambia,Banjul,SABLE Creative Enterprise,"1,000",USD,"1,105","'Oct 04, 2013",14,Arts & Culture;,"1,000","2,150",1.10500,0.51395,678,85.40,79.55,23.51,70.20,25.11,23.45,53.69,9.44,5.75,1.47,2.06,0.00,1.33,0.88,3.69,9.44,15.78,9.73,3.24,7.82,0.74,14.90,3.39,2.06,1.62,2.06,1.77,3.24,2.80,0.44,0.00,0.00,0.15,10.03,0.15,0.15,0.00,1.47,7.67,1.33,3.39,0.74,0.74,0.88,1.62,0.74,0.44,0.00,0.15,0.44,0.15,0.00,0.00,0.29,9.73,4.13,3.24,1.92,1.33,0.00,2.06,10.91,2.51,14.31,2.21,9.29,3.39,6.19,2.80,0.29,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.59,4.28,3.54,0.00,0.00,0.00,0.00,0.59,0.44,0.15,0.29,0.29
A Little Less,Wales,A Little Less,200,USD,200,"'Jan 20, 2014",5,Health;,200,600,1.00000,0.33333,471,23.13,67.97,57.16,82.70,15.19,9.34,62.85,21.02,11.89,6.37,0.64,4.67,0.00,0.21,9.13,5.31,13.59,13.80,6.37,7.01,1.49,21.44,6.37,5.10,2.55,1.49,5.10,3.61,3.40,0.21,0.00,0.00,0.00,11.46,0.00,0.00,0.00,0.00,12.53,2.34,1.70,2.12,3.82,1.49,4.25,0.64,0.42,0.21,0.00,2.34,0.21,0.42,0.00,1.49,7.64,3.82,1.70,2.55,1.70,0.00,1.49,14.01,3.40,11.25,1.06,7.22,3.18,0.85,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.35,5.31,4.67,0.00,0.00,0.42,0.64,0.42,0.00,4.03,0.42,0.42
A New Latrine for the Children,Granada,Education Plus Nicaragua,485,USD,40,"'Fundraising ended on Sep 12, 2012",4,Education;,485,486,0.08247,0.08230,243,94.95,95.40,18.58,56.88,24.30,27.16,44.86,9.47,4.94,0.00,4.53,0.41,0.00,0.00,4.53,11.11,12.76,7.82,0.41,3.29,0.41,11.52,7.82,2.88,0.41,1.23,3.70,2.47,2.06,0.41,0.00,0.00,0.41,12.76,0.00,0.00,0.00,0.00,8.64,1.23,1.23,0.82,2.88,2.06,0.41,0.00,0.00,0.00,0.00,1.23,0.00,0.41,0.00,0.82,14.81,6.58,2.06,6.17,0.41,0.82,0.41,12.35,1.23,14.81,0.00,6.58,8.23,6.17,0.41,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,3.70,5.35,0.00,0.00,0.00,0.41,0.82,0.82,0.00,0.00,0.00
A New Training Room for Certified Hearing Dogs,"Central Point, OR",Dogs for the Deaf,"12,500",USD,"12,805","'Sep 15, 2014",49,Health;,"12,500","13,800",1.02440,0.92790,624,92.51,96.21,6.06,12.90,18.91,22.12,47.28,9.78,6.89,0.00,4.17,1.28,0.16,1.28,2.88,7.85,16.99,4.97,2.56,6.89,0.96,10.42,3.21,2.88,1.28,0.96,2.56,3.85,1.44,2.40,0.80,0.48,0.96,16.19,0.32,0.64,0.16,0.00,8.65,0.80,2.24,0.64,2.56,0.80,2.88,5.45,0.48,4.49,0.48,2.56,0.32,1.92,0.00,0.48,13.14,6.73,3.21,2.40,0.80,1.92,1.12,7.53,1.92,8.81,1.44,4.97,2.40,3.21,0.48,3.37,0.32,0.16,0.00,0.48,0.00,0.32,0.00,0.16,0.00,11.86,5.61,4.65,0.00,0.00,0.00,0.32,0.48,0.32,0.00,0.00,0.48
A Picture Book - Changing How We View Disabilities,"Byron Bay, NSW",Fergus and Delilah,"9,000",AUD,"12,482","'Nov 17, 2015",97,Children & Youth;Social Enterprise;,"9,000","35,000",1.38689,0.35663,9,74.89,99.00,98.01,25.77,9.00,33.33,55.56,22.22,22.22,0.00,22.22,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.44,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.44,44.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,22.22,0.00,0.00,22.22,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,33.33,0.00,22.22,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00
A Portable Rooftop Garden,Melbourne,Compost Ninjas,"5,000",AUD,"5,280","'Sep 30, 2014",66,Education;Environment;Food;,"5,000","5,000",1.05600,1.05600,187,74.62,93.27,17.99,97.83,23.38,24.06,41.18,12.30,8.56,0.00,4.81,2.67,0.00,1.07,3.74,5.35,10.70,4.28,1.60,9.09,0.00,12.83,6.95,1.60,0.53,2.67,1.07,5.35,5.35,0.00,0.00,0.00,0.00,11.23,0.00,0.00,0.00,0.00,11.23,1.60,1.60,3.21,3.74,1.60,3.74,3.74,1.07,0.00,0.53,6.95,0.00,0.00,0.00,6.95,11.76,5.88,2.14,2.67,3.21,0.00,3.21,9.09,1.07,13.37,2.67,7.49,3.21,2.67,2.14,2.67,1.07,0.00,0.00,0.53,0.00,0.00,0.53,0.00,0.00,17.65,4.28,7.49,1.60,1.07,0.00,0.53,1.07,0.00,0.53,1.07,0.00
A Safe Place for the Mentally Ill,Spring Lake,TrustFirst,"6,000",USD,125,"'Fundraising ended on Jun 06, 2015",3,Health;,"6,000","12,000",0.02083,0.01042,402,79.52,93.84,13.67,98.12,26.80,18.41,52.24,13.43,9.95,3.73,3.73,0.00,1.00,1.49,3.48,6.22,16.42,8.71,2.49,6.97,0.00,16.42,3.48,1.24,1.00,2.74,1.99,8.21,6.72,1.24,0.25,0.50,0.25,16.92,3.23,0.25,0.50,1.99,8.96,2.49,1.49,1.99,2.99,0.25,1.49,1.24,0.50,0.00,0.25,4.98,0.00,3.23,0.00,0.00,19.65,9.95,3.73,3.98,1.74,2.49,1.99,12.69,1.99,9.70,0.75,4.73,4.23,3.73,1.74,1.74,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.46,3.73,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00
A Simple Gift - Flutes in the Philippines 2016,Ojai,Flutes Across The World,"6,000",USD,"6,575","'Nov 30, 2015",47,Arts & Culture;Children & Youth;,"6,000","10,000",1.09583,0.65750,228,89.90,86.36,15.51,98.54,19.00,24.12,44.30,9.21,5.26,0.44,2.63,1.32,0.00,0.88,3.95,6.14,15.35,5.26,3.95,5.26,0.44,13.16,4.82,2.63,0.44,3.07,1.75,5.70,5.70,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,11.40,2.19,2.63,2.19,1.32,1.32,2.63,3.07,0.44,0.88,1.75,1.32,0.88,0.44,0.00,0.00,10.53,4.39,1.32,4.39,2.19,0.00,1.75,10.09,0.88,11.84,2.19,7.89,2.63,7.46,1.75,0.00,0.44,0.00,0.00,0.44,0.00,0.44,0.44,0.00,0.00,21.93,4.82,7.46,0.00,0.00,0.44,0.00,2.19,2.63,1.75,0.88,1.75
A Slice of the Cake,"Sunshine Coast, Australia",Kerry White,"30,000",AUD,308,"'Fundraising ended on Jun 23, 2017",6,Community;Food;Social Enterprise;,"30,000",0,0.01027,#DIV/0!,708,83.15,48.87,41.00,99.00,19.14,19.63,49.72,11.72,6.92,5.23,0.14,1.13,0.00,0.42,4.80,8.33,14.55,7.77,3.95,6.36,0.14,14.69,3.39,2.26,1.69,3.39,1.98,7.34,6.92,0.42,0.14,0.00,0.14,6.36,0.14,0.14,0.00,0.00,9.75,0.99,1.84,2.54,2.12,0.99,2.54,2.12,1.13,0.28,0.14,5.08,0.14,0.42,0.42,3.67,8.90,3.25,1.55,2.82,2.82,0.28,0.56,10.31,1.84,13.42,1.69,8.90,3.11,3.25,1.84,1.13,6.78,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.43,3.95,3.39,0.28,0.00,0.42,0.99,0.99,0.14,0.85,0.56,0.85
A Stay with A Hua,"Hue, Vietnam",Evergreen Labs,"3,000",USD,"3,460","'Jul 23, 2017",47,Arts & Culture;Community;Indigenous;,"3,000","4,500",1.15333,0.76889,1463,97.16,83.24,13.89,75.28,23.60,33.42,37.32,4.17,1.91,0.00,1.09,0.55,0.00,0.27,2.26,8.00,14.22,4.58,1.44,5.60,0.21,8.13,3.76,2.12,0.68,2.53,1.78,4.44,3.55,0.89,0.14,0.41,0.21,9.09,0.00,0.21,0.00,0.00,6.56,1.30,1.85,0.68,1.09,1.16,0.89,1.37,0.48,0.14,0.21,1.44,0.27,0.75,0.07,0.34,11.07,4.72,2.60,3.14,1.44,0.41,0.96,5.26,1.30,12.99,1.16,9.36,2.67,5.60,0.41,0.21,1.57,0.00,0.21,0.34,0.00,0.14,0.07,0.07,0.07,13.88,3.90,3.90,0.41,0.07,0.21,0.14,1.91,0.00,0.82,1.71,0.82
A Taste Test to Fight Malnutrition,Boston,nutreats,500,USD,770,"'May 23, 2012",22,Health;,500,"1,000",1.54000,0.77000,255,87.62,88.03,6.20,62.94,23.18,28.63,47.06,11.76,6.67,0.00,4.71,0.39,0.00,1.57,5.10,7.84,14.90,6.67,1.96,6.67,0.00,10.98,5.88,2.35,2.35,2.35,0.39,3.53,2.75,0.78,0.00,0.39,0.00,9.41,0.00,0.00,0.00,0.00,12.16,2.35,2.35,4.31,2.35,0.78,2.75,1.57,0.00,0.00,0.00,5.49,0.00,0.78,0.00,4.71,10.20,4.71,3.53,1.96,1.96,0.39,0.00,9.41,2.75,10.98,0.39,6.27,4.31,4.71,1.57,0.39,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.73,3.53,4.31,0.39,0.00,0.78,0.00,1.57,0.00,1.57,1.57,0.00
A video game for children with Cystic Fibrosis,Seville,AccessAble Games,"29,000",USD,"6,725","'Fundraising ended on May 31, 2013",87,Children & Youth;Health;,"29,000","40,000",0.23190,0.16813,600,94.71,80.69,15.86,91.14,18.18,30.83,42.50,8.00,4.83,1.00,0.83,1.17,0.00,1.83,3.17,8.00,15.33,6.00,1.83,5.33,0.00,9.83,6.17,2.83,0.50,1.83,2.33,5.33,4.67,0.67,0.00,0.00,0.33,8.83,0.00,0.00,0.00,0.00,9.50,2.33,4.50,0.33,1.50,0.67,1.17,1.33,1.17,0.00,0.00,3.00,0.67,1.83,0.00,0.50,10.83,4.00,1.83,4.17,1.00,0.33,0.50,8.00,1.50,10.83,1.17,5.33,4.50,4.17,3.67,0.50,0.50,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,16.50,5.17,3.17,1.50,0.00,0.33,0.33,0.33,0.67,0.50,1.00,3.50
A Virtual Nation to Solve Real Problems,Boston,Virtual Nation,"2,500",USD,"2,535","'Jun 30, 2014",6,Politics;,"2,500","10,000",1.01400,0.25350,738,89.27,85.78,59.83,53.81,18.00,27.24,44.04,8.67,5.15,0.00,3.79,0.27,0.00,1.08,3.52,7.18,14.91,6.78,3.66,5.42,0.68,13.82,6.23,2.85,1.63,1.36,1.63,5.83,3.66,2.17,0.00,0.00,0.68,9.76,0.14,0.00,0.14,0.14,12.87,2.71,3.12,2.57,2.85,0.68,2.44,1.22,0.68,0.14,0.41,0.81,0.00,0.81,0.27,0.00,15.72,6.23,4.07,3.25,1.76,1.63,1.90,8.81,1.63,19.92,3.39,12.33,4.34,4.74,0.41,0.27,1.36,0.00,0.00,0.14,0.00,0.00,0.14,0.00,0.00,19.51,5.01,4.20,0.54,0.95,0.54,0.27,1.22,1.08,0.41,2.98,2.30
"A Voice for Autism-Jenin, Palestinian Territories",Richmond,"A Voice for Autism-Jenin, Palestinian Territories","2,500",USD,95,"'Fundraising ended on Apr 11, 2013",5,Children & Youth;Education;,"2,500","10,000",0.03800,0.00950,417,94.13,77.86,21.70,87.46,32.08,26.38,48.44,6.95,3.36,0.72,0.00,0.00,0.00,2.64,3.60,11.03,15.35,8.87,2.40,6.24,0.48,12.47,4.32,1.92,1.92,0.96,2.16,4.56,4.08,0.48,0.00,0.00,0.48,10.55,1.44,0.00,0.72,0.00,6.71,1.68,1.68,0.96,1.44,0.72,1.68,0.72,0.48,0.24,0.00,2.16,0.00,1.92,0.00,0.24,10.31,2.16,2.16,5.04,2.40,0.00,0.72,9.59,2.40,13.19,1.92,8.15,2.88,7.67,2.16,1.20,1.44,0.00,0.00,0.72,0.00,0.24,0.00,0.48,0.00,11.51,3.84,2.16,0.72,0.00,0.00,0.00,1.92,0.00,0.24,1.68,0.96
